title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
疯狂动物城 Zootopia,2016.0,拜伦·霍华德/瑞奇·摩尔/杰拉德·布什,拜伦·霍华德/瑞奇·摩尔/杰拉德·布什/吉姆·里尔顿/乔西·特立尼达/菲尔·约翰斯顿/珍妮弗·李,金妮弗·古德温/杰森·贝特曼/伊德里斯·艾尔巴/珍妮·斯蕾特/内特·托伦斯/邦尼·亨特/唐·雷克/汤米·钟/J·K·西蒙斯/奥克塔维亚·斯宾瑟/艾伦·图代克/夏奇拉/雷蒙德·S·佩尔西/德拉·萨巴/莫里斯·拉马奇/菲尔·约翰斯顿/约翰·迪·马吉欧/凯蒂·洛斯/吉塔·雷迪/杰西·科尔蒂/汤米·利斯特/乔希·达拉斯/瑞奇·摩尔/凯斯·索西/彼得·曼斯布里奇/拜伦·霍华德/杰拉德·布什/马克·史密斯/乔西·特立尼达/约翰·拉维尔/克里斯汀·贝尔/吉尔·科德斯/梅利莎·古德温,喜剧/动画/冒险,故事发生在一个所有哺乳类动物和谐共存的美好世界中，兔子朱迪（金妮弗·古德温 Ginnifer Goodwin 配音）从小就梦想着能够成为一名惩恶扬善的刑警，凭借着智慧和努力，朱迪成功的从警校中毕业进入了疯狂动物城警察局，殊不知这里是大型肉食类动物的领地，作为第一只，也是唯一的小型食草类动物，朱迪会遇到怎样的故事呢？,109分钟(中国大陆),2016-03-04(中国大陆/美国)/2020-07-24(中国大陆重映)," 美国"," 英语 / 挪威语",1357539.0,9.2,64.5%,30.4%,4.9%,0.2%,0.1%,252897,3724.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg
你的名字。 君の名は。,2016.0,新海诚,新海诚,神木隆之介/上白石萌音/长泽雅美/市原悦子/成田凌/悠木碧/岛崎信长/石川界人/谷花音/寺杣昌纪/大原沙耶香/井上和彦/茶风林/加藤有花/花泽香菜/寺崎裕香,剧情/爱情/动画,在远离大都会的小山村，住着巫女世家出身的高中女孩宫水三叶（上白石萌音 配音）。校园和家庭的原因本就让她充满烦恼，而近一段时间发生的奇怪事件，又让三叶摸不清头脑。不知从何时起，三叶在梦中就会变成一个住在东京的高中男孩。那里有陌生的同学和朋友，有亲切的前辈和繁华的街道，一切都是如此诱人而真实。另一方面，住在东京的高中男孩立花泷（神木隆之介 配音）则总在梦里来到陌生的小山村，以女孩子的身份过着全新的生活。许是受那颗神秘彗星的影响，立花和三叶在梦中交换了身份。他们以他者的角度体验着对方的人生，这期间有愤怒、有欢笑也有暖心。只是两人并不知道，身份交换的背后隐藏着重大而锥心的秘密……,106分钟,2016-12-02(中国大陆)/2016-08-26(日本)," 日本"," 日语",1026552.0,8.4,42.6%,39.0%,16.3%,1.6%,0.4%,241780,6067.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg
摔跤吧！爸爸 Dangal,2016.0,涅提·蒂瓦里,比于什·古普塔/施热亚·简/尼基尔·麦罗特拉/涅提·蒂瓦里,阿米尔·汗/法缇玛·萨那·纱卡/桑亚·玛荷塔/阿帕尔夏克提·库拉那/沙克希·坦沃/塞伊拉·沃西/苏哈妮·巴特纳格尔/里特维克·萨霍里/吉里什·库卡尼,剧情/家庭/传记/运动,马哈维亚（阿米尔·汗 Aamir Khan 饰）曾经是一名前途无量的摔跤运动员，在放弃了职业生涯后，他最大的遗憾就是没有能够替国家赢得金牌。马哈维亚将这份希望寄托在了尚未出生的儿子身上，哪知道妻子接连给他生了两个女儿，取名吉塔（法缇玛·萨那·纱卡 Fatima Sana Shaikh 饰）和巴比塔（桑亚·玛荷塔 Sanya Malhotra 饰）。让马哈维亚没有想到的是，两个姑娘展现出了杰出的摔跤天赋，让他幡然醒悟，就算是女孩，也能够昂首挺胸的站在比赛场上，为了国家和她们自己赢得荣誉。,161分钟(印度),2017-05-05(中国大陆)/2016-12-23(印度)," 印度"," 印地语",1167540.0,9.0,59.2%,33.7%,6.5%,0.4%,0.1%,232658,8267.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg
釜山行 부산행,2016.0,延尚昊,延尚昊,孔侑/郑有美/马东锡/金秀安/金义城/崔宇植/安昭熙/崔奎华/郑锡勇/艺秀晶/朴明申/张赫镇/禹都临/沈恩京,动作/惊悚/灾难,证券公司基金管理人石宇（孔侑 饰）光鲜精干，却也是个重利轻义之徒。妻子为此与之决裂，女儿秀安（金秀安 饰）则对如此自私的父亲越来越失望，决定前往釜山和母亲生活。在秀安生日这天，石宇抽出时间陪伴女儿登上开往釜山的特快列车。而与此同时，城市四处出现了极为可疑的暴动事件。政府极力洗白无法掩盖丧尸肆虐的事实，即便懵然无知的列车乘客也因为不速之客的到来而堕入恐慌绝望的地狱中。开车的刹那，一名感染者冲入车厢，而她很快尸变并对目光所及之处的健康人展开血腥屠杀。未过多久，丧尸便呈几何数爆发性地增长。石宇被迫和幸存者的乘客们在逼仄的空间中奋力求生。,118分钟,2016-05-13(戛纳电影节)/2016-07-20(韩国)," 韩国"," 韩语",849297.0,8.5,41.4%,45.4%,11.9%,1.0%,0.3%,183233,4469.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg
看不见的客人 Contratiempo,2016.0,奥里奥尔·保罗,奥里奥尔·保罗,马里奥·卡萨斯/阿娜·瓦格纳/何塞·科罗纳多/巴巴拉·莱涅/弗兰塞斯克·奥雷利亚/帕科·图斯/大卫·塞尔瓦斯/伊尼戈·加斯特西/圣·耶拉莫斯/马内尔·杜维索/布兰卡·马丁内斯/佩雷·布拉索/霍尔迪·布鲁内特/鲍比·冈萨雷斯/玛蒂娜·乌尔塔多,剧情/悬疑/惊悚/犯罪,艾德里安（马里奥·卡萨斯 Mario Casas 饰）经营着一间科技公司，事业蒸蒸日上，家中有美丽贤惠的妻子和活泼可爱的女儿，事业家庭双丰收的他是旁人羡慕的对象。然而，野心勃勃的艾德里安并未珍惜眼前来之不易的生活，一直以来，他和一位名叫劳拉（芭芭拉·蓝妮 Bárbara Lennie 饰）的女摄影师保持着肉体关系。,106分钟,2017-09-15(中国大陆)/2016-09-23(奇幻电影节)/2017-01-06(西班牙)," 西班牙"," 西班牙语",871774.0,8.8,48.9%,42.0%,8.5%,0.4%,0.1%,199247,2627.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
驴得水,2016.0,周申/刘露,周申/刘露,任素汐/大力/刘帅良/裴魁山/阿如那/韩彦博/卜冠今/王堃/高阳/苏千越/麦亚瑟/王峰,剧情/喜剧,一群“品行不端”却怀揣教育梦想的大学教师，从大城市来到偏远乡村开办了一所小学校。学校待遇惨淡、生活艰苦，但老师们都自得其乐，每天嘻嘻哈哈打成一片。然而教育部特派员要来突击检查的消息打破了安宁，因为学校有一位“驴得水老师”隐藏着不可告人的秘密。就在所有人都担心丑事即将败露的时候，一个神奇天才的出现拯救了大家，然而谁能料到真正的麻烦才刚刚开始……,111分钟,2016-10-28(中国大陆)," 中国大陆"," 汉语普通话",686445.0,8.3,38.8%,43.5%,14.5%,2.3%,0.8%,166380,6700.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.jpg
奇异博士 Doctor Strange,2016.0,斯科特·德瑞克森,史蒂夫·迪特寇/托马斯·迪恩·唐纳利/斯坦·李/乔·斯派茨/约书亚·奥本海默,本尼迪克特·康伯巴奇/蒂尔达·斯文顿/麦斯·米科尔森/切瓦特·埃加福/瑞秋·麦克亚当斯/迈克尔·斯图巴/本尼迪克特·王/本杰明·布拉特/斯科特·阿金斯/莎拉·费希恩/阿拉·萨菲,动作/奇幻/冒险,斯特兰奇博士（本尼迪克特·康伯巴奇 Benedict Cumberbatch 饰）是一名外科手术医生，他拥有着高超的智商和精湛的技艺，是医院乃至整个医学界的传奇人物。某一日，斯特兰奇博士遭遇了一场可怕的车祸，尽管保住了双手，但这双手伤痕累累不住颤抖，这也就意味着，他再也不能拿起手术刀，站在无影灯下了。,115分钟,2016-11-04(中国大陆/美国)/2016-10-25(英国)," 美国"," 英语",478074.0,7.6,19.0%,47.6%,29.8%,3.1%,0.5%,110554,1274.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2388501883.jpg
美人鱼,2016.0,周星驰,周星驰/李思臻/何妙祺/卢正雨/冯志强/陈庆嘉/江玉仪/曾瑾昌,邓超/罗志祥/张雨绮/林允/徐克/吴亦凡/李尚正/卢正雨/白客/孔连顺/田启文/文章/杨能/张美娥/李叶青/林子聪/赵志凌/郑冀峰/钱国伟/范淑珍/艾文·科蒂克/松冈李那/徐轸轸/夏尉喻/皮埃尔·布迪厄/孙嘉灵/许雅婷/赵靖伊/付骏福/虞嘉娜/宁小花/易志乐/孙乐天,喜剧/爱情/奇幻,白手起家的富豪刘轩（邓超 饰）新拍下了一块地皮，并联合了女强人李若兰（张雨绮 饰）使用恐怖的声纳技术驱赶鱼类，用于填海造地。人鱼一族长期居住在附近区域的海里，为了继续生存，带头大哥章鱼八哥（罗志祥 饰）派出了美人鱼珊珊（林允 饰）“色诱”刘轩，准备刺杀。没想到珊珊在卧底过程中与刘轩暗生情愫，一次次破坏暗杀计划，而李若兰却在准备一个更丧心病狂的邪恶计划……,93分钟,2016-02-08(中国大陆/中国香港)," 中国大陆 / 中国香港"," 汉语普通话 / 英语 / 日语",658093.0,6.7,12.8%,29.0%,41.9%,12.2%,4.2%,179923,5587.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2316177058.jpg
大鱼海棠,2016.0,梁旋/张春,梁旋,季冠霖/苏尚卿/许魏洲/金士杰/杨婷/潘淑兰/九儿/王德顺/张媛媛/薛立方/姜广涛/张杰/马正阳/宝木中阳/刘校妤,剧情/动画/奇幻,所有活着的人类，都是海里一条巨大的鱼；出生的时候他们从海的此岸出发。他们的生命就像横越大海，有时相遇，有时分开……死的时候，他们便到了岸，各去各的世界。,105分钟,2016-07-08(中国大陆)," 中国大陆"," 汉语普通话",425053.0,6.9,16.7%,30.7%,36.4%,11.4%,4.7%,148326,9410.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2361744534.jpg
美国队长3 Captain America: Civil War,2016.0,安东尼·罗素/乔·罗素,克里斯托弗·马库斯/斯蒂芬·麦克菲利/杰克·科比/乔·西蒙,克里斯·埃文斯/小罗伯特·唐尼/斯嘉丽·约翰逊/塞巴斯蒂安·斯坦/安东尼·麦凯/唐·钱德尔/杰瑞米·雷纳/查德维克·博斯曼/保罗·贝坦尼/伊丽莎白·奥尔森/保罗·路德/艾米丽·万凯普/汤姆·赫兰德/丹尼尔·布鲁赫/弗兰克·格里罗/威廉·赫特/马丁·弗瑞曼/霍普·戴维斯/玛丽莎·托梅/吉姆·拉什/金世佳,动作/科幻/冒险,美国队长史蒂夫·罗杰斯（克里斯·埃文斯 Chris Evans 饰）带领着全新组建的复仇者联盟，继续维护世界和平。然而，一次执行任务时联盟成员不小心造成大量平民伤亡，从而激发政治压力，政府决定通过一套监管系统来管理和领导复仇者联盟。联盟内部因此分裂为两派：一方由史蒂夫· 罗杰斯领导，他主张维护成员自由，在免受政府干扰的情况下保护世界；另一方则追随托尼·斯塔克（小罗伯特·唐尼 Robert Downey Jr. 饰），他令人意外地决定支持政府的监管和责任制体系。神秘莫测的巴基（塞巴斯蒂安·斯坦 Sebastian Stan 饰）似乎成为内战的关键人物……,148分钟(中国大陆),2016-05-06(中国大陆/美国)/2016-04-12(加州首映)," 美国"," 科萨语 / 英语 / 德语 / 俄语 / 罗马尼亚语",393414.0,7.9,26.4%,45.0%,24.6%,2.9%,1.0%,90268,1848.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2332503406.jpg
