'title', 'year', 'director', 'screenwriter', 'actors','type','summary', 'runtime', 'pubtime', 'country', 'language', 'scoreNum', 'score', 'star5', 'star4', 'star3', 'star2', 'star1', 'smallCommentNum', 'longCommentNum', 'posterurl'
灰猎犬号 Greyhound,2020,亚伦·施耐德,汤姆·汉克斯/C·S·福里斯特,汤姆·汉克斯/斯蒂芬·格拉汉姆/伊丽莎白·苏/迈克尔·本茨/罗布·摩根/大卫·马尔登那多/吉米·坦顿/马特·赫尔姆/汤姆·布里特尼/曼努埃尔·加西亚-鲁尔福/特拉维斯·普里兹比尔斯基/杰里米·丹尼尔·麦登/戴文·德鲁伊/特拉维斯·昆汀/威尔·普伦/乔什·维金斯/迈克尔·卡罗洛/凯莱布·J·塔格德/格雷森·拉塞尔/杰夫·阿德勒/戴夫·戴维斯/李·诺里斯/切特·汉克斯/卡尔·格洛斯曼/马修·祖克/B·马丁·威廉姆斯/乔恩·多纳休/伊恩·詹姆斯·科里特/马克西米利安·奥辛斯基/托马斯·克莱舒曼,剧情/战争,"影片讲述二战初期，由37支盟军船只组成的护航舰队在欧内斯特·克劳斯（汤姆·汉克斯饰）舰长率领的一艘美国驱逐舰指挥下，穿越险恶的北大西洋，同时还要与德国U型潜艇狼群的周旋。
 ",91分钟,2020-07-10(美国), 美国, 英语,55993,8.2,31.3%,51.2%,16.3%,1.0%,0.2%,15432,176,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2591289975.jpg
美人皮,2020,麦贯之,韩栋/张予曦/王艺曈/李若天/肖向飞/陶慧敏/温海波,韩栋/张予曦/王艺曈/李若天/肖向飞/陶慧敏/温海波,爱情/悬疑/奇幻,"由蒲松龄原著《聊斋志异.连城》篇改编。
                                    ",97分钟,2020-07-17(中国大陆), 中国大陆, 汉语普通话,5714,5.5,3.5%,17.8%,40.9%,25.9%,11.9%,3651,35,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614313063.jpg
囧妈,2020,徐峥,何可可/布鲁鲁夫/何一禾/徐峥,徐峥/黄梅莹/袁泉/郭京飞/黄景瑜/贾冰/高以翔/沈腾/宋小宝/黄渤/欧丽娅/陈奇/吴云芳/张建亚/吴竞/张芝华/唐群/徐玉兰/徐幸/陆燕芳/张翠翠/脑门额尔德尼/朱莉娜/刘泽星/薛晴/韩昊霖/郑颖娴/弗索夫·谢尔盖/杨峥/陶桃/崔大笨/潘启言/王斌/张勤/黄梓凌/杜凡昕之/李顺怡/闫虹宇/刘子瑞/谢尔比纳·甘纳/斯莫林·伊凡/张岩/邵巨宝/谢荣珍,喜剧,"虽然有着诸多不舍，但是强势的老板徐伊万（徐峥 饰）还是和合作伙伴兼妻子张璐（袁泉 饰）结束了失败的婚姻。由于某种心理作祟，他试图阻挠前妻在海外重新创业。为了第一时间赶去美国，他回到母亲卢小花（黄梅莹 饰）的住处取护照，结果阴差阳错和母亲坐上了开往俄罗斯的K3次列车。如同身边的老年人一样，卢小花对儿子有着无休止的过度关爱与碎碎念。漫长的旅途中，伊万饱受折磨，他一边遥控表弟郭贴（郭京飞 饰）破坏张璐的生意，一边和母亲展开斗智斗勇的拉锯战。在这一过程中，母子二人冲突不断。伊万渐渐了解到母亲的爱情，同时他也开始反省自己的人生。
                                    ",126分钟,2020-01-25(中国大陆网络), 中国大陆, 汉语普通话 / 俄语 / 英语,518429,5.9,5.7%,17.2%,50.1%,22.8%,4.2%,173322,2938,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2581835383.jpg
猎谎者,2020,廉欣,周易/廉欣,王茂蕾/孙梦纯/张圣鹏/秦雪/马小茜/卜志岩/李宏磊/姜无寒/王斌/冯逾/刘宝,剧情/悬疑/犯罪,"三个月前，某市发生了一起恶性绑架杀人案。三个月后，凶手与被害人都死于车祸。初出茅庐的女警韩烨找到了案件的幸存者林超凡，向他求证案件发生的经过。但随着调查的深入，韩烨发现林超凡的很多证词都存在漏洞，再三逼问之下，林超凡无奈坦白了另一个版本的故事，但案件真相远没有这么简单，几乎每个人都在说谎，而故事也开始不断反转。
                        ",92分钟,2020-06-30(中国大陆), 中国大陆, 汉语普通话,11341,6.9,9.9%,35.5%,45.9%,7.2%,1.5%,3669,63,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2611124274.jpg
永生守卫 The Old Guard,2020,吉娜·普林斯-拜斯伍德,格雷格·鲁卡/莱昂德罗·费尔南德斯,查理兹·塞隆/琪琪·莱恩/马提亚斯·修奈尔/马尔万·肯扎里/卢卡·马里内利/切瓦特·埃加福/哈利·米尔林/吴青芸/娜塔莎·卡拉姆/梅特·托利/安娜玛丽亚·玛琳卡/迈克尔·沃德/莎拉·尼克斯/马吉德·埃塞迪/乔伊·安沙/安德瑞扎亚茨/奥利维亚·罗斯/奥兰多·希尔/西蒙·钱德勒/拉塞尔·巴洛格/亚当·柯林斯/通恰伊·古奈什/豪尔赫·莱昂·马丁内斯/马汀·麦格/Jimmy Star,动作/奇幻,"一个名叫安迪（查理兹·塞隆饰）的战士领导了一个关系紧密的秘密雇佣兵团体，他们具有神秘的不死之身，为了保护凡人世界而战斗了几个世纪。但团队在受雇执行紧急任务时突然暴露了他们不寻常的能力，他们要依靠安迪和新加入的士兵奈尔（琪琪·莱恩饰），帮助团队消除那些不择手段要复制他们的能力并从中获利的人所带来的威胁。
                        ",125分钟,2020-07-10(美国), 美国, 英语,15834,6.3,6.6%,21.8%,52.4%,16.6%,2.6%,5101,63,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2613387966.jpg
狩猎 The Hunt,2020,克雷格·卓贝,尼克·库斯/达蒙·林德洛夫,贝蒂·吉尔平/希拉里·斯万克/艾玛·罗伯茨/贾斯汀·哈特雷/伊克·巴里霍尔兹/格伦·豪尔顿/埃米·马迪根/梅肯·布莱尔/特瑞·韦伯/斯蒂芬·考特尔/韦恩·杜瓦尔/J.C.麦肯泽/里德·伯尼/汉斯·马雷罗/胡安·贾斯帕/汉娜·艾琳/吉姆·克洛克/西尔维娅·格雷丝·克里姆/迪恩·J·韦斯特/内德·尤瑟夫/伊桑·苏普利,动作/惊悚,"12个陌生人在空地上醒来。他们不知道自己在哪里，或者是如何到达这里的。他们不知道他们已经被选中，为了一个非常特殊的目的——捕猎。
                        ",90分钟,2020-03-13(美国), 美国, 英语,96275,7.3,14.3%,43.2%,37.4%,4.4%,0.7%,27023,232,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2585533507.jpg
隐形人 The Invisible Man,2020,雷·沃纳尔,雷·沃纳尔/赫伯特·乔治·威尔斯,伊丽莎白·莫斯/奥利弗·杰森-科恩/阿尔迪斯·霍吉/迈克尔·多曼/斯托姆·瑞德/本尼迪克·哈迪/哈丽特·戴尔/瑞妮·林/布莱恩·米根/薇薇安·格里尔/尼古拉斯·霍普/克利夫·威廉姆斯/萨姆·史密斯/扎拉·迈克尔斯/纳许·埃哲顿/安东尼·布兰登·黄/阿玛莉·沃德/迈克尔·诺特,科幻/惊悚/恐怖,"西西莉亚（伊丽莎白·莫斯 Elisabeth Moss 饰）再也想不到，曾经将自己迷得神魂颠倒的英俊男人阿德里安（奥利弗·杰森-科恩 Oliver Jackson-Cohen 饰），如今会成为噩梦的始作俑者。在和自己恋爱后没多久，阿德里安便开始对西西莉亚进行精神和肉体上的双重控制，终于，忍无可忍的西西莉亚在一天深夜用安定将阿德里安迷晕，成功的逃出了魔窟。
                                    ",124分钟,2020-02-28(美国), 澳大利亚 / 美国 / 加拿大 / 英国, 英语,129016,7.3,12.3%,47.6%,35.4%,4.0%,0.9%,37830,464,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2582428806.jpg
真心半解 The Half of It,2020,伍思薇,伍思薇,莉娅·刘易斯/丹尼尔·迪默/艾丽克西斯·勒梅尔/沃尔夫冈·诺沃格拉茨/邹兆龙/贝琦·安·贝克/恩里克·穆西安诺/麦金太尔·狄克逊/凯瑟琳·科廷/亚历克·廷彻/邦妮·弗兰纳里/泰勒·克罗泽/斯潘塞·沃瓦克/帕特里克·约翰逊/加比·萨默斯/亚历山卓·巴格特/马克·德巴格/乔纳·福尔肯,喜剧/爱情/同性,"个性体贴的运动健将保罗爱上了学校校花，但他实在不善言辞，于是决定僱用内向的高材生艾莉帮他展开追求，毫不相干的两人也因此成为朋友。然而，艾莉发现自己竟然也对校花产生好感，她和保罗的友谊因此变得複杂。本片为编剧兼导演伍思薇的最新力作。
                        ",104分钟,2020-05-01(美国), 美国, 英语 / 汉语普通话 / 法语,96553,8.0,26.5%,49.0%,22.0%,2.1%,0.4%,34529,508,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2594916975.jpg
老大不小,2020,安佳星,季雯/高炜,高炜/杨长青/赵燕国彰/王睿/戴菲/刘亚津/郑卫莉/杜志国,剧情,"通过剧中小人物身上发生的诸多时间及现代社会对于金钱、欲望等诱惑而依旧保持初心并积极努力通过各种勤苦的工作来应对生活中的种种困难，传播小人物也有大能量，对生活、社会及自己都有着美好的向往和肯定。讲述了老北京人在现如今快速发展的时代中体现亲情、友情及爱情最真挚的一面。
                        ",110分钟,2020-07-07(中国大陆), 中国大陆, 汉语普通话,2495,7.1,19.0%,30.8%,39.8%,8.0%,2.4%,1071,16,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2613246507.jpg
侵入者 침입자,2020,孙元平,孙元平,宋智孝/金武烈/艺秀晶/许俊硕/李海云/崔英佑/李济延/崔尚熏/苏熙静/张宋允/徐贤宇,悬疑/惊悚,"讲述失踪25年的妹妹“有真”重返家中后家人逐渐出现了变化，对此感到异常的哥哥“书振”追查妹妹隐藏秘密时发现令人惊讶事件的推理悬疑故事。
                        ",102分钟,2020-06-04(韩国), 韩国, 韩语,18727,6.5,7.8%,24.5%,54.7%,10.9%,1.9%,6464,101,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2608495324.jpg
