我不是药神,2018,文牧野,韩家女/钟伟/文牧野,徐峥/王传君/周一围/谭卓/章宇/杨新鸣/王佳佳/王砚辉/贾晨飞/龚蓓苾/宁浩/李乃文/岳小军/苇青/富冠铭/巴拉特·巴蒂/喜利图/张海艳/朱耕佑,剧情/喜剧,/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /　/　/普/通/中/年/男/子/程/勇/（/徐/峥/ /饰/）/经/营/着/一/家/保/健/品/店/，/失/意/又/失/婚/。/不/速/之/客/吕/受/益/（/王/传/君/ /饰/）/的/到/来/，/让/他/开/辟/了/一/条/去/印/度/买/药/做/“/代/购/”/的/新/事/业/，/虽/然/困/难/重/重/，/但/他/在/这/条/“/买/药/之/路/”/上/发/现/了/商/机/，/一/发/不/可/收/拾/地/做/起/了/治/疗/慢/粒/白/血/病/的/印/度/仿/制/药/独/家/代/理/商/。/赚/钱/的/同/时/，/他/也/认/识/了/几/个/病/患/及/家/属/，/为/救/女/儿/被/迫/做/舞/女/的/思/慧/（/谭/卓/ /饰/）/、/说/一/口/流/利/“/神/父/腔/”/英/语/的/刘/牧/师/（/杨/新/鸣/ /饰/）/，/以/及/脾/气/暴/烈/的/“/黄/毛/”/（/章/宇/ /饰/）/，/几/个/人/合/伙/做/起/了/生/意/，/利/润/倍/增/的/同/时/也/危/机/四/伏/。/程/勇/昔/日/的/小/舅/子/曹/警/官/（/周/一/围/ /饰/）/奉/命/调/查/仿/制/药/的/源/头/，/假/药/贩/子/张/长/林/（/王/砚/辉/ /饰/）/和/瑞/士/正/牌/医/药/代/表/（/李/乃/文/ /饰/）/也/对/其/虎/视/眈/眈/，/生/意/逐/渐/变/成/了/一/场/关/于/救/赎/的/拉/锯/战/。// / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /,117分钟,2018-07-05(中国大陆)/2018-06-30(大规模点映), 中国大陆, 汉语普通话 / 英语 / 上海话 / 印地语,1551448,9.0,57.9%,34.6%,6.8%,0.5%,0.2%,411481,16773,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg
绿皮书 Green Book,2018,彼得·法雷里,尼克·瓦莱隆加/布莱恩·库瑞/彼得·法雷里,维果·莫腾森/马赫沙拉·阿里/琳达·卡德里尼/塞巴斯蒂安·马尼斯科/迪米特·D·马里诺夫/迈克·哈顿/P·J·伯恩/乔·柯蒂斯/玛姬·尼克松/冯·刘易斯/乔恩·索特兰/唐·斯达克/安东尼·曼加诺/保罗·斯隆/珍娜·劳伦索/肯尼斯·以色列/伊克博·塞巴/尼克·瓦莱隆加/大卫·安/迈克·切罗内/杰拉尔丁·辛格/马丁·巴特斯·布拉德福德/格拉伦·布莱恩特·班克斯/汤姆·维图/夏恩·帕特洛/丹尼斯·W·霍尔/吉姆·克洛克/戴恩·罗兹/布赖恩·斯特帕尼克/乔恩·迈克尔·戴维斯/布莱恩·库瑞/托尼亚·马尔多纳多,剧情/喜剧/传记,/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /　/　/托/尼/（/维/果/·/莫/腾/森/ /V/i/g/g/o/ /M/o/r/t/e/n/s/e/n/ /饰/）/是/一/个/吊/儿/郎/当/游/手/好/闲/的/混/混/，/在/一/家/夜/总/会/做/侍/者/。/这/间/夜/总/会/因/故/要/停/业/几/个/月/，/可/托/尼/所/要/支/付/的/房/租/和/生/活/费/不/会/因/此/取/消/，/所/以/他/的/当/务/之/急/是/去/寻/找/另/一/份/工/作/来/填/补/这/几/个/月/的/空/缺/。/在/这/个/节/骨/眼/上/，/一/位/名/叫/唐/雪/莉/（/马/赫/沙/拉/·/阿/里/ /M/a/h/e/r/s/h/a/l/a/ /A/l/i/ /饰/）/的/黑/人/钢/琴/家/提/出/雇/佣/托/尼/。// / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /,130分钟,2019-03-01(中国大陆)/2018-09-11(多伦多电影节)/2018-11-16(美国), 美国, 英语 / 意大利语 / 俄语 / 德语,1129176,8.9,54.7%,38.2%,6.6%,0.3%,0.1%,282181,6194,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg
何以为家 كفرناحوم,2018,娜丁·拉巴基,娜丁·拉巴基/吉哈德·霍加里/米歇尔·凯斯沃尼/乔治斯·哈巴兹/哈立德·穆扎纳,赞恩·阿尔·拉菲亚/约丹诺斯·希费罗/博鲁瓦蒂夫·特雷杰·班科尔/卡萨尔·艾尔·哈达德/法迪·尤瑟夫/海塔·塞德拉·伊扎姆/阿拉·乔什涅/娜丁·拉巴基/埃利亚斯·库利/努尔·艾尔·侯赛尼,剧情,/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /　/　/法/庭/上/，/十/二/岁/的/男/孩/赞/恩/向/法/官/状/告/他/的/亲/生/父/母/，/原/因/是/，/他/们/给/了/他/生/命/。/是/什/么/样/的/经/历/让/一/个/孩/子/做/出/如/此/不/可/思/议/的/举/动/？/故/事/中/，/赞/恩/的/父/母/在/无/力/抚/养/和/教/育/的/状/况/下/依/然/不/停/生/育/，/作/为/家/中/的/长/子/赞/恩/，/弱/小/的/肩/膀/承/担/了/无/数/生/活/的/重/压/。/当/妹/妹/被/强/行/卖/给/商/贩/为/妻/时/，/赞/恩/愤/怒/离/家/，/之/后/遇/到/一/对/没/有/合/法/身/份/的/母/子/，/相/互/扶/持/勉/强/生/活/。/然/而/生/活/并/没/有/眷/顾/赞/恩/，/重/重/磨/难/迫/使/他/做/出/了/令/人/震/惊/的/举/动/…/…// / / / / / / / / / / / / / / / / / / / / / / /,126分钟,2019-04-29(中国大陆)/2018-05-17(戛纳电影节)/2018-09-20(黎巴嫩), 黎巴嫩 / 法国 / 美国, 阿拉伯语 / 阿姆哈拉语,705126,9.1,61.6%,33.1%,4.9%,0.3%,0.1%,179491,4154,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg
红海行动,2018,林超贤,冯骥/陈珠珠/林明杰,张译/黄景瑜/海清/杜江/蒋璐霞/尹昉/王强/郭家豪/王雨甜/麦亨利/张涵予/王彦霖,动作/战争,/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /　/　/中/东/国/家/伊/维/亚/共/和/国/发/生/政/变/，/武/装/冲/突/不/断/升/级/。/刚/刚/在/索/马/里/执/行/完/解/救/人/质/任/务/的/海/军/护/卫/舰/临/沂/号/，/受/命/前/往/伊/维/亚/执/行/撤/侨/任/务/。/舰/长/高/云/（/张/涵/予/ /饰/）/派/出/杨/锐/（/张/译/ /饰/）/率/领/的/蛟/龙/突/击/队/登/陆/战/区/，/护/送/华/侨/安/全/撤/离/。/谁/知/恐/怖/组/织/扎/卡/却/将/撤/侨/部/队/逼/入/交/火/区/，/一/场/激/烈/的/战/斗/在/所/难/免/。/与/此/同/时/，/法/籍/华/人/记/者/夏/楠/（/海/清/ /饰/）/正/在/伊/维/亚/追/查/威/廉/·/柏/森/博/士/贩/卖/核/原/料/的/事/实/，/而/扎/卡/则/突/袭/柏/森/博/士/所/在/的/公/司/，/意/图/抢/走/核/原/料/。/混/战/中/，/一/名/隶/属/柏/森/博/士/公/司/的/中/国/员/工/成/为/人/质/。/为/了/解/救/该/人/质/，/八/名/蛟/龙/队/员/必/须/潜/入/有/1/5/0/名/恐/怖/分/子/的/聚/集/点/，/他/们/用/自/己/的/信/念/和/鲜/血/铸/成/中/国/军/人/顽/强/不/屈/的/丰/碑/！// / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /,138分钟,2018-02-16(中国大陆)/2020-07-24(中国大陆重映), 中国大陆 / 中国香港, 汉语普通话 / 阿拉伯语 / 英语 / 索马里语 / 粤语,830239,8.3,38.0%,42.4%,16.5%,2.3%,0.9%,222147,5984,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2514119443.jpg
头号玩家 Ready Player One,2018,史蒂文·斯皮尔伯格,扎克·佩恩/恩斯特·克莱恩,泰伊·谢里丹/奥利维亚·库克/本·门德尔森/马克·里朗斯/丽娜·维特/森崎温/赵家正/西蒙·佩吉/T·J·米勒/汉娜·乔恩-卡门/拉尔夫·伊内森/苏珊·林奇/克莱尔·希金斯/劳伦斯·斯佩尔曼/佩蒂塔·维克斯/艾萨克·安德鲁斯,动作/科幻/冒险,/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /　/　/故/事/发/生/在/2/0/4/5/年/，/虚/拟/现/实/技/术/已/经/渗/透/到/了/人/类/生/活/的/每/一/个/角/落/。/詹/姆/斯/哈/利/迪/（/马/克/·/里/朗/斯/ /M/a/r/k/ /R/y/l/a/n/c/e/ /饰/）/一/手/建/造/了/名/为/“/绿/洲/”/的/虚/拟/现/实/游/戏/世/界/，/临/终/前/，/他/宣/布/自/己/在/游/戏/中/设/置/了/一/个/彩/蛋/，/找/到/这/枚/彩/蛋/的/人/即/可/成/为/绿/洲/的/继/承/人/。/要/找/到/这/枚/彩/蛋/，/必/须/先/获/得/三/把/钥/匙/，/而/寻/找/钥/匙/的/线/索/就/隐/藏/在/詹/姆/斯/的/过/往/之/中/。// / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /,140分钟,2018-03-30(中国大陆)/2018-03-11(西南偏南电影节)/2018-03-29(美国), 美国, 英语 / 日语 / 汉语普通话,1043661,8.7,48.4%,38.0%,12.1%,1.2%,0.4%,259864,6161,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg
,,,,,,,,,,,,,,,,,,,,
西虹市首富,2018,闫非/彭大魔,闫非/彭大魔/林炳宝,沈腾/宋芸桦/张一鸣/张晨光/常远/魏翔/赵自强/九孔/李立群/王成思/徐冬冬/艾伦/杨皓宇/黄才伦/王力宏/包贝尔/郎咸平/张绍刚/杨文哲/陶亮/王赞/黄杨/刘鉴/杨沅翰/林炳宝/骆佳/陈昊明/臧一人,喜剧,/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /　/　/西/虹/市/丙/级/球/队/大/翔/队/的/守/门/员/王/多/鱼/（/沈/腾/ /饰/）/因/比/赛/失/利/被/教/练/开/除/，/一/筹/莫/展/之/际/王/多/鱼/突/然/收/到/神/秘/人/士/金/老/板/（/张/晨/光/ /饰/）/的/邀/请/，/被/告/知/自/己/竟/然/是/保/险/大/亨/王/老/太/爷/（/李/立/群/ /饰/）/的/唯/一/继/承/人/，/遗/产/高/达/百/亿/！/但/是/王/老/太/爷/给/出/了/一/个/非/常/奇/葩/的/条/件/，/那/就/是/要/求/王/多/鱼/在/一/个/月/内/花/光/十/亿/，/还/不/能/告/诉/身/边/人/，/否/则/失/去/继/承/权/。/王/多/鱼/毫/不/犹/豫/签/下/了/“/军/令/状/”/，/与/好/友/庄/强/（/张/一/鸣/ /饰/）/以/及/财/务/夏/竹/（/宋/芸/桦/ /饰/）/一/起/开/启/了/“/挥/金/之/旅/”/，/即/将/成/为/西/虹/市/首/富/的/王/多/鱼/，/第/一/次/感/受/到/了/做/富/人/的/快/乐/，/同/时/也/发/现/想/要/挥/金/如/土/实/在/没/有/那/么/简/单/！// / / / / / / / / / / / / / / / / / / / / / / /,118分钟,2018-07-27(中国大陆), 中国大陆, 汉语普通话,803415,6.6,9.7%,29.3%,44.3%,13.0%,3.7%,216846,3632,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2529206747.jpg
唐人街探案2,2018,陈思诚,陈思诚,王宝强/刘昊然/肖央/刘承羽/尚语贤/王迅/妻夫木聪/迈克尔·皮特/白灵/元华/曾江/王成思/杨金赐/范湉湉/佟丽娅/陈思诚,喜剧/动作/悬疑,/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /　/　/唐/仁/（/王/宝/强/ /饰/）/为/巨/额/奖/金/欺/骗/秦/风/（/刘/昊/然/ /饰/）/到/纽/约/参/加/世/界/名/侦/探/大/赛/，/然/而/随/着/和/世/界/各/国/侦/探/们/啼/笑/皆/非/的/较/量/，/两/人/却/发/现/了/隐/藏/在/这/次/挑/战/背/后/的/更/大/秘/密/././.// / / / / / / / / / / / / / / / / / / / / / / /,121分钟,2018-02-16(中国大陆), 中国大陆, 汉语普通话,714217,6.7,8.2%,33.3%,44.6%,10.8%,3.1%,196890,3995,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2512717519.jpg
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
